/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 0, Reward 6.0
Episode 0, Reward 8.05
Episode 0, Reward 6.35
Episode 0, Reward 1.4
Episode 0, Reward 106.35
Episode 1, Reward 14.05
Episode 1, Reward 12.35
Episode 1, Reward 7.4
Episode 1, Reward 118.35
Episode 1, Reward 12.7
Episode 2, Reward 112.35
Episode 2, Reward 106.35
Episode 2, Reward 142.4
Episode 2, Reward 113.75
Episode 2, Reward 108.1
Episode 3, Reward 7.05
Episode 3, Reward 6.0
Episode 3, Reward 12.35
Episode 3, Reward 6.0
Episode 3, Reward 12.35
Episode 4, Reward 106.35
Episode 4, Reward 6.7
Episode 4, Reward 42.05
Episode 4, Reward 6.0
Episode 4, Reward 0.0
Episode 5, Reward 19.75
Episode 5, Reward 13.75
Episode 5, Reward 18.0
Episode 5, Reward 13.05
Episode 5, Reward -11
Episode 6, Reward 6.7
Episode 6, Reward 6.0
Episode 6, Reward 14.0
Episode 6, Reward -31
Episode 6, Reward 6.35
Episode 7, Reward 219.0
Episode 7, Reward 0.0
Episode 7, Reward -67
Episode 7, Reward 7.75
Episode 7, Reward 14.75
Episode 8, Reward 48.05
Episode 8, Reward -19
Episode 8, Reward 12.0
Episode 8, Reward 7.4
Episode 8, Reward 41.349999999999994
Episode 9, Reward 41.699999999999996
Episode 9, Reward 12.0
Episode 9, Reward 6.0
Episode 9, Reward 7.05
Episode 9, Reward 6.0
Episode 10, Reward 6.7
Episode 10, Reward 13.7
Episode 10, Reward 0.0
Episode 10, Reward 18.35
Episode 10, Reward 6.7
Episode 11, Reward 12.0
Episode 11, Reward 12.0
Episode 11, Reward 13.05
Episode 11, Reward 12.35
Episode 11, Reward 12.0
Episode 12, Reward 47.349999999999994
Episode 12, Reward 19.75
Episode 12, Reward 19.4
Episode 12, Reward 12.7
Episode 12, Reward 24.0
Episode 13, Reward 119.05
Episode 13, Reward 124.0
Episode 13, Reward 118.0
Episode 13, Reward 124.0
Episode 13, Reward 119.05
Episode 14, Reward 6.0
Episode 14, Reward 6.0
Episode 14, Reward 6.35
Episode 14, Reward 6.7
Episode 14, Reward 6.35
Episode 15, Reward 24.0
Episode 15, Reward 24.0
Episode 15, Reward 24.35
Episode 15, Reward 24.0
Episode 15, Reward 24.0
Episode 16, Reward 6.7
Episode 16, Reward 6.0
Episode 16, Reward 6.0
Episode 16, Reward 6.35
Episode 16, Reward 6.35
Episode 17, Reward 6.0
Episode 17, Reward 12.0
Episode 17, Reward 0.0
Episode 17, Reward 6.0
Episode 17, Reward 2.0999999999999996
Episode 18, Reward 12.0
Episode 18, Reward 12.35
Episode 18, Reward 12.35
Episode 18, Reward 12.35
Episode 18, Reward 12.35
Episode 19, Reward 6.0
Episode 19, Reward 6.7
Episode 19, Reward 6.35
Episode 19, Reward 6.35
Episode 19, Reward 6.35
Episode 20, Reward 6.35
Episode 20, Reward 0.0
Episode 20, Reward 14.0
Episode 20, Reward 48.699999999999996
Episode 20, Reward 0.0
Episode 21, Reward 6.35
Episode 21, Reward 8.1
Episode 21, Reward 14.05
Episode 21, Reward 6.35
Episode 21, Reward 7.05
Episode 22, Reward 54.699999999999996
Episode 22, Reward 19.0
Episode 22, Reward 19.0
Episode 22, Reward 19.0
Episode 22, Reward 19.35
Episode 23, Reward 13.7
Episode 23, Reward 6.0
Episode 23, Reward 6.35
Episode 23, Reward 12.0
Episode 23, Reward 6.7
Episode 24, Reward -84
Episode 24, Reward 7.0
Episode 24, Reward -82
Episode 24, Reward 7.75
Episode 24, Reward -67
Episode 25, Reward 7.0
Episode 25, Reward 7.05
Episode 25, Reward 0.35
Episode 25, Reward -38
Episode 25, Reward 6.0
Episode 26, Reward 6.0
Episode 26, Reward 0.0
Episode 26, Reward -43
Episode 26, Reward 6.35
Episode 26, Reward -7
Episode 27, Reward 6.0
Episode 27, Reward -36
Episode 27, Reward 12.0
Episode 27, Reward -7
Episode 27, Reward 12.0
Episode 28, Reward 42.4
Episode 28, Reward 6.7
Episode 28, Reward 113.7
Episode 28, Reward 8.1
Episode 28, Reward 113.35
Episode 29, Reward 7.05
Episode 29, Reward -34
Episode 29, Reward 7.05
Episode 29, Reward 1.0499999999999998
Episode 29, Reward -17
Episode 30, Reward -65
Episode 30, Reward 0.35
Episode 30, Reward -65
Episode 30, Reward -64
Episode 30, Reward 18.0
Episode 31, Reward 30.35
Episode 31, Reward 24.35
Episode 31, Reward 32.4
Episode 31, Reward 30.35
Episode 31, Reward 25.4
Episode 32, Reward 7.4
Episode 32, Reward 53.349999999999994
Episode 32, Reward 19.4
Episode 32, Reward 14.05
Episode 32, Reward -12
Episode 33, Reward -17
Episode 33, Reward 18.0
Episode 33, Reward 7.0
Episode 33, Reward -53
Episode 33, Reward 19.35
Episode 34, Reward 18.0
Episode 34, Reward 18.0
Episode 34, Reward 19.05
Episode 34, Reward 19.75
Episode 34, Reward 18.0
Episode 35, Reward 19.35
Episode 35, Reward 20.4
Episode 35, Reward 26.35
Episode 35, Reward 20.4
Episode 35, Reward 20.75
Episode 36, Reward 25.7
Episode 36, Reward 25.0
Episode 36, Reward 25.0
Episode 36, Reward 25.0
Episode 36, Reward 25.35
Episode 37, Reward 13.0
Episode 37, Reward 6.35
Episode 37, Reward 7.4
Episode 37, Reward 1.4
Episode 37, Reward 54.05
Episode 38, Reward 13.75
Episode 38, Reward 12.7
Episode 38, Reward 6.7
Episode 38, Reward -5
Episode 38, Reward 113.35
Episode 39, Reward 12.7
Episode 39, Reward 0.0
Episode 39, Reward 14
Episode 39, Reward 113.0
Episode 39, Reward 0.0
Episode 40, Reward 1.4
Episode 40, Reward 3
Episode 40, Reward 113.35
Episode 40, Reward 0.7
Episode 40, Reward -29
Episode 41, Reward 7
Episode 41, Reward 119.7
Episode 41, Reward 7.05
Episode 41, Reward -25
Episode 41, Reward 19.05
Episode 42, Reward 12.0
Episode 42, Reward 13.05
Episode 42, Reward 12.7
Episode 42, Reward 13.4
Episode 42, Reward 11
Episode 43, Reward 6.0
Episode 43, Reward 7.05
Episode 43, Reward 6.0
Episode 43, Reward 41.349999999999994
Episode 43, Reward 6.7
Episode 44, Reward -35
Episode 44, Reward 13.75
Episode 44, Reward -59
Episode 44, Reward 0.7
Episode 44, Reward 2.4499999999999997
Episode 45, Reward 12.0
Episode 45, Reward -64
Episode 45, Reward 1.4
Episode 45, Reward 8.05
Episode 45, Reward 108.05
Episode 46, Reward 13
Episode 46, Reward 19.0
Episode 46, Reward 19.7
Episode 46, Reward 19.35
Episode 46, Reward 19.0
Episode 47, Reward 6.7
Episode 47, Reward 7.0
Episode 47, Reward 0.0
Episode 47, Reward 9.0
Episode 47, Reward 6.0
Episode 48, Reward 7.05
Episode 48, Reward 6.35
Episode 48, Reward 6.35
Episode 48, Reward 6.0
Episode 48, Reward 18.35
Episode 49, Reward 6.35
Episode 49, Reward 6.35
Episode 49, Reward 6.0
Episode 49, Reward 18.35
Episode 49, Reward 7.05
Episode 50, Reward -79
Episode 50, Reward -81
Episode 50, Reward -84
Episode 50, Reward -80
Episode 50, Reward 8.4
Episode 51, Reward 1.4
Episode 51, Reward 112.0
Episode 51, Reward 6.7
Episode 51, Reward 7.35
Episode 51, Reward -61
Episode 52, Reward 141.35
Episode 52, Reward 141.7
Episode 52, Reward 106.35
Episode 52, Reward 106.0
Episode 52, Reward 106.0
Episode 53, Reward 6.0
Episode 53, Reward 8.45
Episode 53, Reward 12.0
Episode 53, Reward 13.75
Episode 53, Reward 13.75
Episode 54, Reward 7.35
Episode 54, Reward -63
Episode 54, Reward 1.4
Episode 54, Reward 18.0
Episode 54, Reward -62
Episode 55, Reward 12.0
Episode 55, Reward 20.1
Episode 55, Reward 19.05
Episode 55, Reward 18.7
Episode 55, Reward 13.05
Episode 56, Reward 18.35
Episode 56, Reward 24.0
Episode 56, Reward 13.4
Episode 56, Reward 7.75
Episode 56, Reward 119.05
Episode 57, Reward 12.35
Episode 57, Reward 13.05
Episode 57, Reward 12.0
Episode 57, Reward 12.35
Episode 57, Reward 12.35
Episode 58, Reward 12.0
Episode 58, Reward 6.7
Episode 58, Reward 119.75
Episode 58, Reward 7.4
Episode 58, Reward 12.0
Episode 59, Reward 6.35
Episode 59, Reward 119.75
Episode 59, Reward 7.05
Episode 59, Reward 12.0
Episode 59, Reward 47.349999999999994
Episode 60, Reward 48.05
Episode 60, Reward 13.05
Episode 60, Reward 12.7
Episode 60, Reward 13.4
Episode 60, Reward 13.75
Episode 61, Reward 18.0
Episode 61, Reward 18.0
Episode 61, Reward 19.05
Episode 61, Reward 19.05
Episode 61, Reward 19.05
Episode 62, Reward 13.75
Episode 62, Reward 12.35
Episode 62, Reward 12.0
Episode 62, Reward 8.45
Episode 62, Reward 1.4
Episode 63, Reward 12.0
Episode 63, Reward 13.4
Episode 63, Reward 7.05
Episode 63, Reward 0.7
Episode 63, Reward 7.4
Episode 64, Reward 12.0
Episode 64, Reward 9.0
Episode 64, Reward 1.0499999999999998
Episode 64, Reward 6.35
Episode 64, Reward -2
Episode 65, Reward 125.0
Episode 65, Reward 125.0
Episode 65, Reward 125.0
Episode 65, Reward 126.05
Episode 65, Reward 131.0
Episode 66, Reward 18.35
Episode 66, Reward 18.7
Episode 66, Reward 19.4
Episode 66, Reward 60.05
Episode 66, Reward 18.35
Episode 67, Reward 111.7
Episode 67, Reward 7.4
Episode 67, Reward 153.7
Episode 67, Reward 6.35
Episode 67, Reward 111.0
Episode 68, Reward 6.35
Episode 68, Reward -6
Episode 68, Reward 19.0
Episode 68, Reward 7.05
Episode 68, Reward 18.0
Episode 69, Reward -50
Episode 69, Reward 19.0
Episode 69, Reward 6.0
Episode 69, Reward 18.0
Episode 69, Reward 1.75
Episode 70, Reward 19.0
Episode 70, Reward 6.0
Episode 70, Reward 18.0
Episode 70, Reward 0.0
Episode 70, Reward 0.35
Episode 71, Reward 12.7
Episode 71, Reward 12.35
Episode 71, Reward 12.35
Episode 71, Reward 12.35
Episode 71, Reward 12.0
Episode 72, Reward 18.0
Episode 72, Reward 0.0
Episode 72, Reward 1.0499999999999998
Episode 72, Reward 20.05
Episode 72, Reward 6.7
Episode 73, Reward 13.75
Episode 73, Reward 12.35
Episode 73, Reward 18.0
Episode 73, Reward 12.35
Episode 73, Reward 12.0
Episode 74, Reward 48.05
Episode 74, Reward 19.35
Episode 74, Reward 12.35
Episode 74, Reward 7.05
Episode 74, Reward 12.35
Episode 75, Reward 12.35
Episode 75, Reward 6.0
Episode 75, Reward 41.349999999999994
Episode 75, Reward 7.4
Episode 75, Reward 12.0
Episode 76, Reward 0.35
Episode 76, Reward 1.0499999999999998
Episode 76, Reward 14.4
Episode 76, Reward 6.0
Episode 76, Reward -21
Episode 77, Reward 6.35
Episode 77, Reward 6.35
Episode 77, Reward 12.35
Episode 77, Reward 13.05
Episode 77, Reward 18.0
Episode 78, Reward 7.05
Episode 78, Reward 18.7
Episode 78, Reward 12.35
Episode 78, Reward 13.4
Episode 78, Reward 12.7
Episode 79, Reward 12.0
Episode 79, Reward 6.7
Episode 79, Reward 12.0
Episode 79, Reward 13.4
Episode 79, Reward 6.7
Episode 80, Reward 18.0
Episode 80, Reward 18.35
Episode 80, Reward 18.35
Episode 80, Reward 113.35
Episode 80, Reward 7.05
Episode 81, Reward -27
Episode 81, Reward 50.699999999999996
Episode 81, Reward -26
Episode 81, Reward 10.05
Episode 81, Reward 15.7
Episode 82, Reward 12.7
Episode 82, Reward 143.4
Episode 82, Reward 0.35
Episode 82, Reward 18.7
Episode 82, Reward 112.0
Episode 83, Reward 213.0
