/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 0, Reward 19.7
Episode 0, Reward 24.35
Episode 0, Reward 19.0
Episode 0, Reward 19.0
Episode 0, Reward 18.35
Episode 1, Reward 17.7
Episode 1, Reward 18.0
Episode 1, Reward 13.75
Episode 1, Reward 11.0
Episode 1, Reward 9.7
Episode 2, Reward -53
Episode 2, Reward 1.0499999999999998
Episode 2, Reward -52
Episode 2, Reward 6.35
Episode 2, Reward 112.0
Episode 3, Reward 12.0
Episode 3, Reward 11.35
Episode 3, Reward 6.0
Episode 3, Reward 7.05
Episode 3, Reward 12.0
Episode 4, Reward 112.35
Episode 4, Reward 3.35
Episode 4, Reward 112.35
Episode 4, Reward 6.0
Episode 4, Reward -8
Episode 5, Reward 9.35
Episode 5, Reward 6.35
Episode 5, Reward 24.0
Episode 5, Reward 24.0
Episode 5, Reward 17.0
Episode 6, Reward -55
Episode 6, Reward -58
Episode 6, Reward 15.05
Episode 6, Reward 107.35
Episode 6, Reward 18.0
Episode 7, Reward 1.75
Episode 7, Reward 7.1
Episode 7, Reward 41.75
Episode 7, Reward 6.4
Episode 7, Reward 5.0
Episode 8, Reward 19.05
Episode 8, Reward 111.0
Episode 8, Reward 12.4
Episode 8, Reward 18.0
Episode 8, Reward 0.0
Episode 9, Reward 112.75
Episode 9, Reward 12.05
Episode 9, Reward 19.05
Episode 9, Reward 24.0
Episode 9, Reward 29.35
Episode 10, Reward 11.7
Episode 10, Reward 11.0
Episode 10, Reward 6.7
Episode 10, Reward 12.05
Episode 10, Reward 6.0
Episode 11, Reward 13.1
Episode 11, Reward 41.349999999999994
Episode 11, Reward 19.1
Episode 11, Reward 13.75
Episode 11, Reward 13.4
Episode 12, Reward 12.35
Episode 12, Reward 23.0
Episode 12, Reward 18.0
Episode 12, Reward 18.35
Episode 12, Reward 22.05
Episode 13, Reward -63
Episode 13, Reward 0.7
Episode 13, Reward 6.0
Episode 13, Reward -71
Episode 13, Reward -65
Episode 14, Reward 41.349999999999994
Episode 14, Reward 6.0
Episode 14, Reward 42.05
Episode 14, Reward 42.05
Episode 14, Reward 41.349999999999994
Episode 15, Reward 12.0
Episode 15, Reward 18.35
Episode 15, Reward 17.7
Episode 15, Reward 13.75
Episode 15, Reward 7.4
Episode 16, Reward 12.35
Episode 16, Reward 5.0
Episode 16, Reward 0.35
Episode 16, Reward 1.0499999999999998
Episode 16, Reward 11.0
Episode 17, Reward 0.35
Episode 17, Reward 0.7
Episode 17, Reward 5.0
Episode 17, Reward 13.1
Episode 17, Reward 5.0
Episode 18, Reward 6.35
Episode 18, Reward 7.05
Episode 18, Reward 17.0
Episode 18, Reward 11.0
Episode 18, Reward 21.1
Episode 19, Reward 6.35
Episode 19, Reward 6.7
Episode 19, Reward 6.0
Episode 19, Reward 4
Episode 19, Reward 6.35
Episode 20, Reward 6.35
Episode 20, Reward 6.0
Episode 20, Reward 6.35
Episode 20, Reward 12.0
Episode 20, Reward 6.0
Episode 21, Reward 12.4
Episode 21, Reward 18.35
Episode 21, Reward 24.0
Episode 21, Reward 18.0
Episode 21, Reward 13.0
Episode 22, Reward 55.4
Episode 22, Reward 55.4
Episode 22, Reward 54.699999999999996
Episode 22, Reward 54.349999999999994
Episode 22, Reward 54.699999999999996
Episode 23, Reward 20.75
Episode 23, Reward -7
Episode 23, Reward 12.0
Episode 23, Reward 12.0
Episode 23, Reward 13.4
Episode 24, Reward -80
Episode 24, Reward 7.0
Episode 24, Reward -79
Episode 24, Reward 107.7
Episode 24, Reward 35
Episode 25, Reward 0.0
Episode 25, Reward 1.75
Episode 25, Reward 1.75
Episode 25, Reward 35.699999999999996
Episode 25, Reward 0.35
Episode 26, Reward 6.0
Episode 26, Reward 1.4
Episode 26, Reward -50
Episode 26, Reward 6.0
Episode 26, Reward -14
Episode 27, Reward 11.0
Episode 27, Reward -49
Episode 27, Reward 6.7
Episode 27, Reward -11
Episode 27, Reward 12.0
Episode 28, Reward 42.4
Episode 28, Reward 7.05
Episode 28, Reward 113.05
Episode 28, Reward -16
Episode 28, Reward 112.35
Episode 29, Reward 2.35
Episode 29, Reward 6.35
Episode 29, Reward 1.4
Episode 29, Reward 6.0
Episode 29, Reward 9.7
Episode 30, Reward -65
Episode 30, Reward -67
Episode 30, Reward 106.0
Episode 30, Reward 102
Episode 30, Reward 126.7
Episode 31, Reward 18.0
Episode 31, Reward 15.0
Episode 31, Reward 6
Episode 31, Reward 30.35
Episode 31, Reward 22.05
Episode 32, Reward 11.1
Episode 32, Reward 14.4
Episode 32, Reward 10.0
Episode 32, Reward 12.7
Episode 32, Reward 13.4
Episode 33, Reward 7
Episode 33, Reward 24.7
Episode 33, Reward 15.0
Episode 33, Reward 47.05
Episode 33, Reward 23.0
Episode 34, Reward 24.35
Episode 34, Reward 14.05
Episode 34, Reward 12.0
Episode 34, Reward 18.35
Episode 34, Reward 7.75
Episode 35, Reward 14.7
Episode 35, Reward -65
Episode 35, Reward 20.35
Episode 35, Reward 19.35
Episode 35, Reward 113.7
Episode 36, Reward 23.0
Episode 36, Reward 35.0
Episode 36, Reward 24.0
Episode 36, Reward 123.7
Episode 36, Reward 12.0
Episode 37, Reward 5.35
Episode 37, Reward 6.0
Episode 37, Reward 5.7
Episode 37, Reward 0.0
Episode 37, Reward 5.4
Episode 38, Reward 6.35
Episode 38, Reward 106.0
Episode 38, Reward 1.4
Episode 38, Reward 18.7
Episode 38, Reward 12.0
Episode 39, Reward -18
Episode 39, Reward 1.75
Episode 39, Reward 123.35
Episode 39, Reward -26
Episode 39, Reward -27
Episode 40, Reward 2.0999999999999996
Episode 40, Reward 23.0
Episode 40, Reward 17.0
Episode 40, Reward 6.05
Episode 40, Reward 0.35
Episode 41, Reward 58.699999999999996
Episode 41, Reward 19.1
Episode 41, Reward 6.4
Episode 41, Reward 7.35
Episode 41, Reward 18.4
Episode 42, Reward 12.4
Episode 42, Reward 10.35
Episode 42, Reward 11.0
Episode 42, Reward 11.05
Episode 42, Reward -10
Episode 43, Reward 110.4
Episode 43, Reward 7.4
Episode 43, Reward 1
Episode 43, Reward 144.35
Episode 43, Reward 1
Episode 44, Reward 1.0499999999999998
Episode 44, Reward 17.7
Episode 44, Reward -48
Episode 44, Reward 5.0
Episode 44, Reward 0.35
Episode 45, Reward 0.7
Episode 45, Reward -32
Episode 45, Reward -28
Episode 45, Reward 0.35
Episode 45, Reward 108.05
Episode 46, Reward -14
Episode 46, Reward -11
Episode 46, Reward 19.0
Episode 46, Reward 126.0
Episode 46, Reward 13.0
Episode 47, Reward -57
Episode 47, Reward 13.7
Episode 47, Reward 113.0
Episode 47, Reward 5.1
Episode 47, Reward 12.0
Episode 48, Reward 4.75
Episode 48, Reward 107.0
Episode 48, Reward 2.4499999999999997
Episode 48, Reward 6.7
Episode 48, Reward 112.0
Episode 49, Reward 112.35
Episode 49, Reward 1.0499999999999998
Episode 49, Reward 5.0
Episode 49, Reward 112.0
Episode 49, Reward 0.0
Episode 50, Reward 110.7
Episode 50, Reward 107.35
Episode 50, Reward 214.4
Episode 50, Reward 119.7
Episode 50, Reward 110.05
Episode 51, Reward 108.0
Episode 51, Reward 249.35
Episode 51, Reward 109.75
Episode 51, Reward 102.35
Episode 51, Reward 112.0
Episode 52, Reward -15
Episode 52, Reward -11
Episode 52, Reward 1.75
Episode 52, Reward 107.7
Episode 52, Reward 106.05
Episode 53, Reward 108.7
Episode 53, Reward 109.75
Episode 53, Reward 119.05
Episode 53, Reward -33
Episode 53, Reward 121.0
Episode 54, Reward 113.05
Episode 54, Reward 112.0
Episode 54, Reward -65
Episode 54, Reward 1.75
Episode 54, Reward -65
Episode 55, Reward 17.1
Episode 55, Reward 11.35
Episode 55, Reward 15.0
Episode 55, Reward 15.7
Episode 55, Reward 16.35
Episode 56, Reward 12.05
Episode 56, Reward 10.05
Episode 56, Reward 15.0
Episode 56, Reward 17.4
Episode 56, Reward 118.35
Episode 57, Reward 21.0
Episode 57, Reward 21.7
Episode 57, Reward 10.75
